HosId,HosName,Hname,pasw,Email,Location,Pin,Contact,DOE,TIME,ABBV,HosName
10001,All India Institute of Medical Sciences (AIIMS),AIIMS10001,963258741,AIIMS@gmail.com,"AIIMS, Main Blood Bank, Ansari Nagar, Ring Road",56712,987653123,02-06-1956,12:30:51,AIIMS,All India Institute of Medical Sciences (AIIMS)
10002,Armed Forces Transfusion Centre,AFTC10002,963258742,AFTC@gmail.com,"Delhi Cantonment, Area Sadar Bazar, Army Public School",56713,987653124,03-06-1989,13:30:51,AFTC,Armed Forces Transfusion Centre
10003,Dr. Ram Manohar Lohia Hospital,ARML10003,963258743,ARML@gmail.com,"Baba Kharak Singh Marg, near Gurudwara Bangla Sahib, Connaught Place",56714,987653125,04-06-1991,14:30:51,ARML,Dr. Ram Manohar Lohia Hospital
10004,E.S.I. Hospital,ESI10004,963258744,ESI@gmail.com,"ESI Hospital, Basai Darapur, Ring Road",56715,987653126,05-06-1991,15:30:51,ESI,E.S.I. Hospital
10005,Safdarjung Hospital,SAF10005,963258745,SAF@gmail.com,"Safdarjung Hospital, Ansari Nagar, Ring Road",56716,987653127,06-06-1991,16:30:51,SAF,Safdarjung Hospital
10006,Sucheta Kriplani Hospital,SK10006,963258746,SK@gmail.com,"C-604, Shaheed Bhagat Singh Road, DIZ Area",56717,987653128,07-06-1991,17:30:51,SK,Sucheta Kriplani Hospital
10007,Govind Ballabh Pant Hospital,GBPant10007,963258747,GBPant@gmail.com,"G.B. Pant Hospital,Jawahar Lal Nehru Marg, Delhi Gate",56718,987653129,08-06-1991,18:30:51,GBPant,Govind Ballabh Pant Hospital
10008,Guru Tegh Bahadur Hospital,GTB10008,963258748,GTB@gmail.com,"G T B Hospital, Shahadara",56719,987653130,09-06-1991,19:30:51,GTB,Guru Tegh Bahadur Hospital
10009,Regional Blood tranfusion Center of Central zone,RBTCCZ10009,963258749,RBTCCZ@gmail.com,"2 Jawarlal Nehru Marg, Delhi Gate",56720,987653131,10-10-1991,20:30:51,RBTCCZ,Regional Blood tranfusion Center of Central zone
10010,Sushrut Trauma Centre,STC10010,963258750,STC@gmail.com,"Civil Lines, 9, Metcalf Road",56721,987653132,11-08-1991,21:30:51,STC,Sushrut Trauma Centre
10011,Sanjay Gandhi Memorial Hospital,SGM10011,963258751,SGM@gmail.com,"S- Block, Mangolpuri",56722,987653133,12-07-1991,22:30:51,SGM,Sanjay Gandhi Memorial Hospital
10012,Dr. Baba Sahab Ambedkar Hospital,DBSAH10012,963258752,DBSAH@gmail.com,"Sector-6, Rohini",56723,987653134,13-05-1991,23:30:51,DBSAH,Dr. Baba Sahab Ambedkar Hospital
10013,Institute of Liver and Biliary Sciences,ILBSBS10013,963258753,ILBSBS@gmail.com,"D-1, Vasant Kunj",56724,987653135,14-05-1991,00:30:51,ILBSBS,Institute of Liver and Biliary Sciences
10014,Lal Bahadur Shastri Hospital,LBS10014,963258754,LBS@gmail.com,"Near Kalyanvas Colony/Mayur Vihar Phase -II, GNCTD Kichdipur",56725,987653136,15-06-1991,01:30:51,LBS,Lal Bahadur Shastri Hospital
10015,Hindu Rao Hospital,HRH10015,963258755,HRH@gmail.com,"DR. J.S. Kkaranwal Memorial Road, Near Malka Ganj, Sabji Mandi, Malka Ganj",56726,987653137,16-06-1991,02:30:51,HRH,Hindu Rao Hospital
10016,Kasturba Gandhi Hospital,KGH10016,963258756,KGH@gmail.com,"Near Jama Masjid, Daryaganj",56727,987653138,17-06-1991,03:30:51,KGH,Kasturba Gandhi Hospital
10017,Swami Dayanand Hospital,SDH10017,963258757,SDH@gmail.com,Dilshad Garden,56728,987653139,18-06-1991,04:30:51,SDH,Swami Dayanand Hospital
10018,Holy Family Hospital,HFH10018,963258758,HFH@gmail.com,Okhla Road,56729,987653140,19-06-1991,05:30:51,HFH,Holy Family Hospital
10019,Mata Chanan Devi Hospital,MCDH10019,963258759,MCDH@gmail.com,C-1 JANAKPURI NEW DELHI,56730,987653141,20-06-1991,06:30:51,MCDH,Mata Chanan Devi Hospital
10020,Shri Moolchand Khariti-ram Hospital and Ayurvedic Research Institute,SMKHEARI10020,963258760,SMKHEARI@gmail.com,"Mool Chand Hospital, Lajpat Nagar-III",56731,987653142,21-06-1991,07:30:51,SMKHEARI,Shri Moolchand Khariti-ram Hospital and Ayurvedic Research Institute
10021,National Heart Institute,NHI10021,963258761,NHI@gmail.com,"49, Community Center, East of Kailash",56732,987653143,22-06-1991,08:30:51,NHI,National Heart Institute
10022,Sunder Lal Jain Charitable Hospital,SLJCH10022,963258762,SLJCH@gmail.com,"Ashok Vihar, Phase-III",56733,987653144,23-11-1991,09:30:51,SLJCH,Sunder Lal Jain Charitable Hospital
10023,St. Stephens Hospital,SSH10023,963258763,SSH@gmail.com,"St. Stephen Hospital, Tis Hazari",56734,987653145,24-01-1994,10:30:51,SSH,St. Stephens Hospital
10024,"Pushpawati Singhania Research Institute (For Liver, Renal and Digestive Disease)",PUS10024,963258764,PUS@gmail.com,"Press Enclave Marg, Sheikh Sarai, Phase II",56735,987653146,27-03-1996,11:30:51,PUS,"Pushpawati Singhania Research Institute (For Liver, Renal and Digestive Disease)"
10025,Maharaja Agrasen Hospital,MAH10025,963258765,MAH@gmail.com,West Punjabi bagh,56736,987653147,29-05-1998,12:30:51,MAH,Maharaja Agrasen Hospital
10026,Delhi Heart and Lung Institute,DHLII10026,963258766,DHLII@gmail.com,"3 MM-11, Panchkuian Road",56737,987653148,30-07-2000,13:30:51,DHLII,Delhi Heart and Lung Institute
